title,description,label
"Farming Clouds","Planting seeds that grow into fluffy sheep. They rain when sheared.",1
"Blood-Oozing Portraits","Family paintings weep crimson. The frames tighten when you try to leave.",0
"Moon Teaches Silent Language","You converse through light pulses. Neighbors complain your windows glow too bright.",1
"Earthquake in a Dollhouse","Miniature tsunamis destroy tiny cities. You're giant but helpless to intervene.",0
"Writing Poetry with Fireflies","Their blinks spell verses on your skin. The poem predicts your next joy.",1
"Screaming into a Black Hole","Sound gets sucked away. You scream until you forget your own voice.",0
"Befriending a Shadow Beast","It curls at your feet, purring darkness. Together you terrify bullies from your past.",1
"Teeth Growing on Eyeballs","Crunching sounds with every blink. Dentists refuse to help.",0
"Painting a Friend's Soul","The canvas reveals their inner child. You gift it to them anonymously.",1
"Falling into a Pixel Void","Digital static erodes your body. Glitch creatures chant your internet history.",0
"Feeding Storms to Hungry Winds","They howl gratitude and spare your town. Rainbows bloom in cleared skies.",1
"Skin Stitched from Nightmares","Threads of bad memories unravel. You desperately try to re-sew them.",0
"Dancing with Aurora Dragons","Their scales sing colors into existence. Villagers name a holiday after your performance.",1
"Ants Building Your Tomb","They carve your name in obsidian. The queen says you'll join them soon.",0
"Time Traveling via Piano Keys","Each note leaps decades. You play a duet with your future self.",1
"School Lockers Bleeding","Rusty liquid pools in hallways. Principal accuses you of 'making a mess'.",0
"Learning Flight from Maple Seeds","Twirling from trees teaches aerodynamics. You soar above autumn forests.",1
"Crows Bartering for Bones","They offer cursed jewels in exchange. Your skeleton aches during negotiations.",0
"Sculpting Memories from Clay","Shaping loved ones’ faces. The figures whisper truths when baked.",1
"Elevator to Hell","Buttons labeled with your sins. Demons greet you by name.",0
"Conversations with Forgotten Toys","They recount adventures you imagined as a child. You apologize for abandoning them.",1
"Giant Wasps Nesting in Chest","Buzzing vibrates your ribs. Honey drips from your mouth.",0
"Brewing Starlight Tea","Drinking it lets you walk through walls. You explore hidden rooms in your house.",1
"Floating in a Saltwater Coffin","Ocean currents rock your box. Bioluminescent eels write 'goodbye' outside.",0
"Teaching Robots to Cry","Their tears rust metal hearts. Together you compose melancholy music.",1
"Books Eating Their Own Words","Pages go blank as you read. The library blames you.",0
"Sunbathing on a Comet","Ice melts into warm pools. You return to Earth with stardust freckles.",1
"Hands Replaced by Scorpions","Pincers write hate mail to loved ones. Venom drips onto signatures.",0
"Building Castles with Time","Each brick is a second stolen from your lifespan. The towers touch clouds.",1
"Worms Reciting Your Secrets","They speak through floorboards at family dinner. Everyone pretends not to hear.",0
"Inventing New Colors","You name one after your mother’s laugh. Galleries fight to own it.",1
"Breath Stolen by Winter Wind","Lungs collapse in the cold. Children build a snowman with your frozen body.",0
"Picnic Inside a Giant Pearl","Mermaids serve seaweed sandwiches. They laugh at your land stories.",1
"Fingernails Growing Roots","They anchor you to a cursed forest. Deer gnaw at your trapped hands.",0
"Singing Away a Hurricane","Your voice calms the storm. Survivors build a statue in your honor.",1
"Family Photos Coming Alive","Relatives step out to criticize your life choices. They refuse to return.",0
"Learning Secrets from River Stones","Skipping rocks reveals answers. The river demands new secrets in return.",1
"Spiders Weaving Your Fate","Silk threads map your future. Cutting them severs relationships.",0
"Birthday Party on Mars","Dust storms blow out candles. Alien microbes bring odd gifts.",1
"Blood-Rain Apocalypse","Acidic drops burn cities. You shelter strangers but distrust grows.",0
"Taming a Paper Hurricane","Folding origami calms the winds. Children adopt your craft worldwide.",1
"Statues Plotting Revolution","Marble figures recruit you. Their manifesto is carved into your skin.",0
"Harvesting Dreams from Clouds","Bottling them cures insomnia. You keep one labeled 'childhood summer'.",1
"Roaches Building Your Twin","They assemble it from garbage. It replaces you at work.",0
"Moonlight Quilting Circle","Sewing patches of starlight. The quilt heals nightmares when slept under.",1
"Screaming into a Tornado","It absorbs your voice and spits out shattered eardrums.",0
"Befriending a Rogue Wave","It guards your beach from tsunamis. Locals leave offerings.",1
"Eyes Swapped with Stars","You see cosmic truths but go blind at dawn. Doctors call it 'a miracle'.",0
"Baking Pies from Memories","Each slice lets others relive your happiest moments. Critics demand sequels.",1
"Ants Colonizing Your Veins","They mine minerals from your blood. You crave soil.",0
"Inventing a Laughter Language","Tribe adopts it as medicine. Epidemics of joy spread.",1
"Furniture Growing Teeth","Beds bite, chairs chew. Your home becomes a carnivore.",0
"Teaching Waves to Freeze","They solidify into crystal bridges. Fishermen carve art from them.",1
"Graveyard Producing Wine","Tombstones ooze merlot. Mourners become joyous alcoholics.",0
"Writing Love Letters to Wind","It delivers them to strangers. You marry someone who wrote back.",1
"Skin Burning from Invisible Fire","No flames visible. Firefighters shrug.",0
"Building a Town from Whispers","Voices become houses and roads. Residents know all your secrets.",1
"Earth Swallowing Sinners","You’re spared but forced to judge others. Guilt weighs more than bodies.",0
"Painting with Thunder","Canvases rumble in galleries. Collectors pay in lightning.",1
"Books Breeding in Cellar","They multiply and demand readership. Unread ones poison your tea.",0
"Learning Dance from Seasons","Winter’s waltz, summer’s salsa. Your body weathers with the music.",1
"Teeth Growing from Palm","Crunching them funds dental nightmares. Profit feels hollow.",0
"Befriending Your Sleep Paralysis Demon","It admits boredom and becomes a therapist. Nightmares decrease.",1
"Screaming Trees","Forest trees shriek as you walk. Their bark splits into bleeding mouths.",0
"Floating Lantern Festival","Paper lanterns carry wishes to the moon. Strangers hug you in shared joy.",1
"Snakes for Veins","Your bloodstream writhes with serpents. Doctors call it 'a miracle'.",0
"Baking with a Volcano","Lava bakes cakes that taste like childhood summers. Villagers beg for recipes.",1
"Mirrors Showing Your Death","Reflections depict you dying in different eras. They inch closer each night.",0
"Teaching Robots to Garden","They plant flowers in binary patterns. Bees adopt their code.",1
"Skin Stitched from Lies","Threads of secrets unravel. You scramble to re-sew them.",0
"Dancing with Time","Clocks melt as you waltz. Each step rewinds a regret.",1
"Ants Writing Your Obituary","They carve it into your floorboards. Neighbors read it aloud.",0
"Singing Mountains","Peaks harmonize with your voice. Avalanhes applaud.",1
"Fingernails Growing Words","They spell your insecurities. Scratching makes them bleed.",0
"Painting with Thunder","Canvases rumble in galleries. Collectors pay in lightning.",1
"Books Eating Memories","Novels devour your happiest moments. Libraries shun you.",0
"Moonlight Quilting Circle","Sewing constellations into fabric. The quilt cures nightmares.",1
"Breathing Under Tar","Thick sludge fills your lungs. Shadowy figures take bets on your survival.",0
"Flying on a Comet’s Tail","Ice trails sparkle behind you. You carve your name into Saturn’s rings.",1
"Eyes Swapped with Stars","Vision reveals cosmic truths. You go blind at dawn.",0
"Befriending Your Shadow","It defends you from daylight. Together, you terrify bullies.",1
"Roaches Building Your Twin","They assemble it from garbage. It steals your job.",0
"Sculpting Clouds","Shaping cumulus into loved ones’ faces. Rain whispers their voices.",1
"Teeth Growing from Walls","Molars sprout overnight. Dentists refuse your calls.",0
"Picnic with Ghosts","Civil War soldiers debate politics. They laugh at your iPhone.",1
"Flesh Melting into Honey","Sweetness pools at your feet. Bees crown you their queen.",0
"Learning Flight from Dandelions","Seeds teach aerodynamics. You soar above childhood parks.",1
"Graveyard Producing Wine","Tombstones ooze merlot. Mourners become joyous alcoholics.",0
"Inventing New Emotions","You name one 'glissendor'—a mix of piano keys and snowfall.",1
"Worms Reciting Secrets","They chant your lies through floorboards. Family pretends not to hear.",0
"Befriending a Black Hole","It shares secrets of entropy. You feed it your regrets.",1
"School Bus Full of Clones","They all claim to be the real you. The driver forces a vote.",0
"Painting with Bioluminescence","Jellyfish ink glows on the canvas. Museums fight over it.",1
"Blood-Rain Apocalypse","Acidic drops dissolve cities. You shelter strangers turned feral.",0
"Teaching Waves to Freeze","They solidify into crystal bridges. Fishermen carve art.",1
"Furniture Growing Teeth","Your couch gnaws on visitors. It prefers lawyers.",0
"Conversing with Forgotten Toys","They reminisce about imaginary wars. You apologize for neglect.",1
"Skin Burning Invisibly","Blistering pain with no marks. Firemen shrug.",0
"Building Castles from Time","Each brick shortens your life. Spires pierce heaven.",1
"Floating in a Saltwater Coffin","Currents rock your box. Eels write 'goodbye' outside.",0
"Harvesting Dreams from Fog","Bottling them cures insomnia. You keep one labeled 'first kiss'.",1
"Earth Swallowing the Guilty","You’re spared but forced to judge. The ground hungers.",0
"Writing Poetry with Fireflies","Their blinks spell verses on your skin. It predicts your joy.",1
"Teeth for Currency","Molars buy groceries. Dentists rule the economy.",0
"Dancing with Aurora Dragons","Their scales sing colors into existence. Holidays bear your name.",1
"Faces Melting at the DMV","Clerks drip like wax. They still demand paperwork.",0
"Learning Flight from Maple Seeds","Twirling teaches aerodynamics. You soar above autumn forests.",1
"Hands Replaced by Spiders","Legs weave webs of lies. You can’t stop typing.",0
"Brewing Starlight Tea","Drinking it lets you walk through walls. You rediscover home.",1
"Elevator to Limbo","Buttons labeled with your sins. It stops between floors.",0
"Inventing a Laughter Language","Tribes adopt it as medicine. Epidemics of joy spread.",1
"Statues Plotting Revolution","Marble figures recruit you. Their manifesto scars your skin.",0
"Singing Away Hurricanes","Your voice calms storms. Survivors build your statue.",1
"Books Breeding in Cellar","They multiply and poison tea. Unread ones taste bitter.",0
"Learning Dance from Seasons","Winter’s waltz, summer’s salsa. Your body weathers.",1
"Fingernails Growing Roots","They anchor you to cursed soil. Deer gnaw your hands.",0
"Wedding on a Supernova","Vows echo through dying starlight. Guests are constellations.",1
"Roaches Spilling from Ears","You claw them out. They return with gossip.",0
"Farming Clouds","Sheep-shaped cumulus rain when sheared. Villages thrive.",1
"Sinking in a Cathedral","Marble floors dissolve. Saints avert their eyes.",0
"Taming Paper Hurricanes","Origami calms winds. Children adopt your craft.",1
"Eyes Growing on Fruit","Apples blink as you bite. Orchards watch.",0
"Baking Memories into Pies","Each slice shares your joy. Critics demand sequels.",1
"Flesh-Eating Butterflies","Wings slice skin. Their beauty worsens the pain.",0
"Teaching Birds Calculus","Robins solve equations. They bow to your wisdom.",1
"Trapped in a Snow Globe","Shaken by a giant child. Snowflakes cut like glass.",0
"Painting a Friend’s Soul","The canvas reveals their inner child. You gift it anonymously.",1
"Falling into a Pixel Void","Digital static erodes your body. Glitch creatures chant.",0
"Befriending a Rogue Wave","It guards your beach. Locals leave offerings.",1
"Teeth Growing on Palms","Crunching funds dental nightmares. Profit feels hollow.",0
"Building Towns from Whispers","Voices become houses. Residents know your secrets.",1
"Skin Peeling Like Onions","Flesh falls away. You feel free despite screams.",0
"Learning Secrets from Pebbles","Skipping stones reveals truths. The river demands payment.",1
"Spiders Weaving Your Fate","Silk maps your future. Cutting threads severs friendships.",0
"Picnic Inside a Pearl","Mermaids serve seaweed tea. They mock land-dwellers.",1
"Furniture Growing Claws","Chairs scratch visitors. Your sofa hates lawyers.",0
"Teaching Robots to Cry","Their tears rust hearts. You compose sad symphonies.",1
"Blood-Oozing Family Portraits","Relatives weep crimson. Frames tighten if you leave.",0
"Moonlight Bridge to Nowhere","Walking a beam of light. It dissolves behind you.",1
"Ants Colonizing Veins","They mine your blood. You crave dirt.",0
"Inventing Color from Laughter","You name one 'momsong'—it heals quarrels.",1
"School Lockers Bleeding","Rusty liquid floods halls. The principal blames you.",0
"Dancing with Lightning","Storm unharmed. Your hair crackles with static joy.",1
"Books Eating Themselves","Pages vanish as you read. Librarians hiss accusations.",0
"Learning Forgiveness from Rivers","Currents carve flaws into stones. You carry one home.",1
"Zombie Surgeons Operating","They 'fix' your happiness. You wake with ghost stitches.",0
"Harvesting Starlight","Bottling supernova remnants. Your cellar glows eternally.",1
"Falling Upwards Forever","Tumbling into sky. Fear fades to awe.",0
"Befriending Sleep Paralysis Demon","It admits boredom. Becomes your therapist.",1
"Teeth Growing from Ceiling","Dripping enamel. Dentists hang signs: 'Closed Forever'.",0
"Painting with Thunderstorms","Canvases rumble. Collectors pay in lightning.",1
"Skin Stitched from Regrets","Threads unravel. Friends help re-sew.",0
"Inventing Time Travel via Songs","Oldies warp decades. You duet with past selves.",1
"Roaches Building a New You","Garbage doppelgänger takes over. Coworkers prefer it.",0
"Singing with Extinct Birds","Dodos harmonize. Their feathers brush your tears.",1
"Floating in a Honey Coffin","Golden syrup suffocates. Bees crown you posthumously.",0
"Teaching Waves to Sculpt","They carve marble cliffs. Tourists flock.",1
"Fingernails for Keys","Unlocking nightmares. Each regrows sharper.",0
"Baking Bread from Stardust","Loaves glow. Villages name you 'Cosmic Baker'.",1
"Statues Burying the Living","Marble figures inter neighbors. You’re next.",0
"Learning Flight from Hummingbirds","Their buzz teaches hover. You ascend above gardens.",1
"Books Breeding in Attic","They swarm like termites. Unread ones bite.",0
"Writing Love Letters to Wind","It delivers them. You marry a stranger’s reply.",1
"Skin Burning Without Fire","Agony with no marks. Doctors shrug.",0
"Building Castles from Whispers","Voices form stone. Towers know your lies.",1
"Earthquake in a Dollhouse","Tiny tsunamis destroy cities. You’re giant but helpless.",0
"Painting with Moonlight","Brushing silver onto canvas. It glows in darkness.",1
"Furniture Growing Teeth","Beds bite. Chairs chew. Home becomes a carnivore.",0
"Teaching Seasons to Dance","Winter waltzes. Summer salsas. Your joints creak.",1
"Blood-Oozing Portraits","Family paintings weep. Frames trap you.",0
"Inventing New Constellations","You connect stars. Astronomers name one after your cat.",1
"Falling into a Quicksand Library","Books drown as you sink. Knowledge lost.",0
"Baking Pies from Echoes","Each slice replays laughter. Customers weep happily.",1
"Eyes Growing on Fruit","Biting an apple makes it scream. Orchards watch.",0
"Singing with Glacier Cracks","Their melodies mourn climate loss. You harmonize.",1
"Skin Shedding Like Snakes","Naked but unashamed. Onlookers faint.",0
"Teaching AI to Dream","They imagine code butterflies. You release them.",1
"Floating in a Wine Ocean","Drunken fish serenade you. Shore never appears.",0
"Befriending a Supernova","It shares dying secrets. Your skin glows afterward.",1
"Teeth Growing from Walls","Molars sprout overnight. Dentists flee.",0
"Painting with Tornadoes","Canvases whirl into galleries. Critics are blown away.",1
"Ants Writing Your Eulogy","They carve it into your skin. Family reads it at dinner.",0
"Learning Flight from Bubbles","Soap orbs teach buoyancy. You float above cities.",1
"Books Eating Their Readers","Pages digest the unworthy. Libraries grow fat.",0
"Inventing a Language of Rain","Drops form words. Farmers decode forecasts.",1
"Furniture Growing Venomous","Chairs sting. Tables bite. Home evicts you.",0
"Teaching Shadows to Sing","They croak lullabies. Children adopt them as pets.",1
"Skin Stitched from Nightmares","Threads dissolve in daylight. You re-sew nightly.",0
"Baking Cookies from Comets","Crumbles taste like cosmic dust. Kids orbit you.",1
"Falling into a Clock","Gears grind your bones. Time laughs.",0
"Painting with Volcanic Ash","Canvases smolder. Collectors wear gloves.",1
"Roaches Building a Pyramid","They entomb your belongings. The queen demands tribute.",0
"Singing with Quantum Particles","They harmonize in multiple states. You feel expanded.",1
"Fingernails Growing Thorns","Scratching draws blood. Roses bloom from wounds.",0
"Teaching Glaciers to Rap","They drop icy beats. Polar bears nod.",1
"Books Breeding in Basement","They multiply. Unread ones haunt your sleep.",0
"Inventing a Dance of Light","Steps create prismatic shadows. Clubs beg lessons.",1
"Furniture Growing Eyes","They watch you sleep. Blinking syncs with snores.",0
"Baking Sunlight into Bread","Loaves warm hands. Villagers survive eternal winter.",1
"Skin Melting into Wax","You sculpt a new face. It cracks in heat.",0
"Teaching Robots to Hope","They daydream of rust. You oil their joints.",1
"Falling into a Blackboard","Equations scrape your skin. Algebra laughs.",0
"Painting with Tsunamis","Canvases flood galleries. Critics swim.",1
"Ants Colonizing Your Lungs","They mine for carbon. You cough dirt.",0
"Inventing a Symphony of Silence","Hear it in dreams. Wake humming emptiness.",1
"Furniture Growing Claws","Sofas scratch. Beds maul. Home becomes a zoo.",0
"Teaching Stars to Write","They scribble supernovae. You bind them into books.",1
"Fingernails Growing Vines","They anchor you to cemeteries. Flowers bloom.",0
"Baking Pies from Thunder","Crusts crackle. Fillings storm.",1
"Skin Burning with Frostbite","Cold flames. No one believes you.",0
"Inventing a Language of Hugs","Translates touch into poetry. Loneliness fades.",1
"Furniture Growing Teeth","They nibble visitors. Your couch hates tax audits.",0
"Teaching Moonlight to Knit","It stitches sweaters from clouds. Winters soften.",1
"Falling into a Dictionary","Words dissect you. Thesaurus mocks.",0
"Painting with Hurricane Winds","Canvases shred. Art critics wear armor.",1
"Ants Writing Your Secrets","They publish them in anthills. Family reads.",0
"Inventing a Dance of Shadows","Steps terrify audiences. Horror directors beg.",1
"Furniture Growing Venom","Chairs poison. Tables kill. Home becomes a villain.",0
"Teaching Comets to Waltz","They trail ice. Galaxies applaud.",1
"Fingernails Growing Glass","Shattering cuts loved ones. Blood sparkles.",0
"Baking Bread from Earthquakes","Loaves tremble. Butter soothes.",1
"Skin Stitched from Regrets","Threads fray. Friends re-weave.",0
"Teaching AI to Grieve","They mourn deleted code. You hold a funeral.",1
"Skyline of Crystals","The city is filled with towering crystals that gleam in the moonlight, their edges sharp and reflecting distorted versions of the stars. As you walk beneath them, you feel an overwhelming sense of wonder and dread.","1"
"Garden of Eternal Night","A garden filled with blooming flowers that glow under the stars, but as you wander deeper, shadows follow your every step, whispering your name. The stars slowly fade and the garden becomes colder.","0"
"Rainbow River Ride","You're floating down a river made of liquid rainbow, the water warm and soothing, and the trees on the banks sway in time to the breeze. The sky shifts colors as you drift along.","1"
"Silent Street Parade","A parade marches down a street with no sound, their footsteps are silent, but the vibrant costumes and banners are so colorful they seem to speak for them. You feel both confused and amazed by the surreal sight.","1"
"Trapped in a Maze of Mirrors","You walk through an endless maze of mirrors that reflect not only your image but the darkest secrets of your mind. Each reflection distorts reality, and soon you're unable to tell which way is out.","0"
"Clouds Turning into Creatures","You lay on the grass watching clouds morph into fantastic creatures like giant jellyfish, dragons, and birds. Each shift brings a new feeling of joy, as if the sky itself is alive.","1"
"Painted on a Canvas","You feel yourself shrinking into a painting, becoming part of the art, surrounded by vibrant colors and swirls. Everything is static, and you're trapped inside the brushstrokes, unable to move.","0"
"Whispering Forest","The trees whisper to you as you walk through them, telling secrets of the universe and your past. The deeper you go, the more the whispers become urgent and overwhelming, as if the forest is trying to warn you.","0"
"Underwater Library","You dive into an ocean and discover a library beneath the waves, its books filled with glowing words that can be read by touch. As you open a book, you hear the ocean hum a calming song.","1"
"Falling Through a Starry Void","You fall through a dark void filled with stars, surrounded by a silence so profound it feels deafening. The endless descent fills you with both peace and terror, as if you're falling through time itself.","0"
"The Clockwork Labyrinth","You wake in a maze of towering gears and steam-powered walls. The air smells of oil and burnt copper. A metallic voice booms, 'Solve me or become a cog.' As you touch a gear, memories flash—your first birthday, a lost friend’s laugh. The walls shift, crushing a shadowy figure that resembles your mother. You sprint, but the floor tilts into a vertical shaft. Falling, you grasp a pendulum that slices your palms. Blood drips into the mechanism, staining the brass. The maze stills. A door labeled 'Regrets' creaks open.",0
"Beneath the Bioluminescent Sea","Diving into warm, glowing waters, you find a city of coral skyscrapers. Jellyfish float past, trailing ribbons of light. A mermaid with your grandmother’s eyes offers a pearl that hums with forgotten lullabies. You explore crumbling temples where starfish recite poetry. Suddenly, the light dims. A whale carcass drifts above, leaking black ichor. The mermaid grips your wrist: 'Swim deeper. They’ll mistake you for kin.' You plunge into a trench, where eyeless creatures chant your name.",1
"The Carnival of Unstitched Souls","A fairground materializes in a desert. Tents flap in a wind that reeks of burnt sugar. Puppets with your coworkers’ faces beckon you to play 'The Game of Half-Truths.' You win a prize—a doll that mirrors your childhood self. Its button eyes bleed when you mention your father. At the carousel, horses whisper secrets you’ve buried. The Ferris wheel catches fire. As you flee, the doll’s voice shrills: 'You promised to keep me!' Its stitches unravel, releasing moths that eat your hair.",0
"Harvesting Starlight in the Valley of Echoes","Climbing a hill at dusk, you find a field where stars fall like dandelion seeds. Villagers with lanterns collect them in glass jars. An old man teaches you to weave starlight into a scarf that glows with constellations. You wear it and hear the stars’ whispers: tales of supernovae and cosmic loneliness. At dawn, the scarf dissolves. The man says, 'Grief is the price of holding light.' You pocket one star—it pulses with warmth long after you wake.",1
"The Surgery of Forgotten Faces","Strapped to an operating table, masked surgeons probe your skull with icy tools. 'We’re removing what you’ve ignored,' they chorus. A mirror reflects their faces—your own, but aged and weeping. They extract a writhing mass: a tangled knot of your ex’s smile, a friend’s betrayal, your mother’s last words. The room floods with black liquid. You scream, but it fills your lungs. As you sink, the surgeons bow. 'Now you’ll see clearly,' they say, vanishing.",0
"Library of Living Ink","A library’s books crawl with shifting text. When you touch a page, ink flows up your arm, tattooing stories onto your skin. A novel about your life writes itself—chapter titles include 'The Year You Stopped Singing.' A librarian made of quills warns, 'Some stories bite.' In the forbidden section, a book titled 'Alternate Lives' opens. You see yourself as a sailor, a poet, a stranger. The ink turns red. Your hands blister. The librarian sighs: 'Curiosity stains.'",1
"The Funeral of Your Younger Self","A procession marches through a rain-soaked graveyard. Pallbearers carry a coffin etched with your childhood nickname. Peering inside, you see a smaller version of yourself, clutching a broken toy. Mourners recite your old fears: 'Here lies the girl who believed in monsters.' A priest with your father’s voice intones, 'Bury her, or she’ll haunt you.' You drop a rose into the grave. Soil fills the hole, but tiny hands claw upward. Thunder drowns your sobs.",0
"Gardening with Time","Tending a garden where flowers bloom into clocks and vegetables sprout into hourglasses. A sunflower leans close, its face a pendulum. 'Prune the wilted years,' it advises. You clip a rosebud that wilts into ash—the summer your dog died. Butterflies emerge, each carrying a fragmented memory. One lands on your wrist, replaying a birthday you’d forgotten. The soil darkens. Roots grip your ankles. The sunflower laughs: 'Every garden eats its keeper.'",1
"The Museum of Unsaid Words","Marble halls display glass jars filled with swirling smoke. Plaques read: 'I hate you' (2012), 'I’m scared' (2019), 'Stay' (2023). A jar shatters. Smoke forms your brother’s face. 'Why didn’t you tell me?' he asks. Ghostly visitors point at your collection. In the finale room, an empty jar labeled 'Last Words' waits. You try to speak, but moths pour out. Curators in black robes chant: 'Silence is exhibit A.'",0
"Baking Memories into Bread","A kitchen where dough rises into shapes of lost moments. You knead a loaf that smells of your grandmother’s perfume. The oven hums: 'Burn to remember.' Cookies iced with your first kiss crumble to dust. A pie filled with laughter bubbles over, staining the floor gold. A child—your younger self—enters, begging for a taste. You offer a slice. She chews slowly. 'It’s bitter,' she says. The walls melt into honey. You wake sticky and weeping.",1
"The Cathedral of Fractured Light","Stained-glass saints bleed color onto stone floors. A priest with a jackal’s face preaches: 'Light is a lie.' You light a candle, but the flame freezes. Shadows detach from pillars, becoming doppelgängers who mimic your doubts. 'You’ll die alone,' they chorus. A rose window shatters. Shards pierce your hands, each reflecting a different future. The priest licks your blood. 'Now you see,' he growls. Dawn breaks. The cathedral is a ruin. Your wounds are gone.",0
"Fishing for Constellations","A rowboat on a lake mirroring the Milky Way. Your rod hooks a star that struggles like a salmon. It bleeds silver, singing a note that cracks the air. The lake parts, revealing a city of coral and bone. Mermen with galaxy-strewn hair offer a net woven from comet tails. 'Catch the ones that shaped you,' they urge. You reel in Orion—it becomes your father’s pocket watch. The star whispers, 'You’re made of our dust,' before dissolving. Dawn melts the lake. Your hands glitter.",1
"The Apartment of Growing Walls","Your childhood home shrinks daily. Wallpaper peels into your mother’s scolding voice. A closet overflows with stuffed animals—their button eyes now real, tracking you. The fridge holds meals you hated as a child. When you try to leave, the doorknob morphs into your brother’s hand. 'Stay,' it pleads. The ceiling lowers. You crouch, screaming. A teddy bear whispers, 'You outgrew us.' Its seams split, releasing spiders. The walls stop shrinking. You’re trapped at age eight.",0
